Sample.ID,host glycan,fructan
Li32130_S7_Metabat2_binout.82,2,2
Li32143_S20_Metabat2_binout.92,2,2
Li32132_S9_Metabat2_binout.71,2,1
Li32132_S9_Metabat2_binout.73,2,1
Li32133_S10_Maxbin2out.038,2,1
Li32144_S21_Maxbin2out.022,2,1
Li32146_S23_Metabat2_binout.102,2,1
Li32172_S49_Metabat2_binout.49,2,1
Li32185_S62_Metabat2_binout.68,2,1
Li32187_S64_Metabat2_binout.15,2,1
Li32202_S79_Maxbin2out.009,2,1
Li32203_S80_Metabat2_binout.49,2,1
Li32124_S1_Metabat2_binout.46,2,0
Li32130_S7_Metabat2_binout.102,2,0
Li32131_S8_Maxbin2out.047,2,0
Li32131_S8_Metabat2_binout.116,2,0
Li32132_S9_Maxbin2out.044,2,0
Li32132_S9_Metabat2_binout.22,2,0
Li32141_S18_Maxbin2out.042,2,0
Li32142_S19_Maxbin2out.001,2,0
Li32143_S20_Metabat2_binout.22,2,0
Li32143_S20_Metabat2_binout.37,2,0
Li32143_S20_Metabat2_binout.42,2,0
Li32143_S20_Metabat2_binout.50,2,0
Li32143_S20_Metabat2_binout.59,2,0
Li32144_S21_Maxbin2out.030,2,0
Li32144_S21_Metabat2_binout.91,2,0
Li32145_S22_Metabat2_binout.139,2,0
Li32145_S22_Metabat2_binout.82,2,0
Li32151_S28_Metabat2_binout.150,2,0
Li32152_S29_Metabat2_binout.108,2,0
Li32152_S29_Metabat2_binout.124,2,0
Li32153_S30_Metabat2_binout.106,2,0
Li32153_S30_Metabat2_binout.48,2,0
Li32153_S30_Metabat2_binout.61,2,0
Li32153_S30_Metabat2_binout.89,2,0
Li32154_S31_Metabat2_binout.69,2,0
Li32159_S36_Metabat2_binout.51,2,0
Li32164_S41_Maxbin2out.063,2,0
Li32166_S43_Maxbin2out.026,2,0
Li32166_S43_Metabat2_binout.5,2,0
Li32172_S49_Metabat2_binout.38,2,0
Li32176_S53_Metabat2_binout.29,2,0
Li32179_S56_Metabat2_binout.25,2,0
Li32182_S59_Maxbin2out.031,2,0
Li32182_S59_Metabat2_binout.38,2,0
Li32183_S60_Metabat2_binout.89,2,0
Li32184_S61_Metabat2_binout.89,2,0
Li32185_S62_Maxbin2out.028,2,0
Li32185_S62_Metabat2_binout.62,2,0
Li32191_S68_Metabat2_binout.39,2,0
Li32197_S74_Metabat2_binout.47,2,0
Li32199_S76_Maxbin2out.014,2,0
Li32199_S76_Maxbin2out.034,2,0
Li32199_S76_Maxbin2out.042,2,0
Li32199_S76_Metabat2_binout.8,2,0
Li32201_S78_Metabat2_binout.110,2,0
Li32203_S80_Maxbin2out.029,2,0
Li32205_S82_Maxbin2out.003,2,0
Li32205_S82_Metabat2_binout.92,2,0
Li32206_S83_Maxbin2out.004,2,0
Li32206_S83_Maxbin2out.035,2,0
Li32137_S14_Metabat2_binout.36,3,2
Li32156_S33_Metabat2_binout.14,3,2
Li32185_S62_Maxbin2out.018,3,2
Li32144_S21_Metabat2_binout.36,3,1
Li32148_S25_Metabat2_binout.105,3,1
Li32130_S7_Maxbin2out.001,3,0
Li32131_S8_Maxbin2out.005,3,0
Li32132_S9_Metabat2_binout.17,3,0
Li32132_S9_Metabat2_binout.24,3,0
Li32134_S11_Maxbin2out.052,3,0
Li32134_S11_Metabat2_binout.28,3,0
Li32136_S13_Metabat2_binout.42,3,0
Li32143_S20_Metabat2_binout.68,3,0
Li32144_S21_Maxbin2out.014,3,0
Li32144_S21_Metabat2_binout.15,3,0
Li32144_S21_Metabat2_binout.18,3,0
Li32146_S23_Maxbin2out.043,3,0
Li32147_S24_Metabat2_binout.2,3,0
Li32148_S25_Metabat2_binout.33,3,0
Li32151_S28_Maxbin2out.012,3,0
Li32152_S29_Metabat2_binout.76,3,0
Li32154_S31_Maxbin2out.019,3,0
Li32166_S43_Metabat2_binout.136,3,0
Li32170_S47_Maxbin2out.002,3,0
Li32170_S47_Metabat2_binout.56,3,0
Li32171_S48_Metabat2_binout.107,3,0
Li32176_S53_Metabat2_binout.30,3,0
Li32177_S54_Metabat2_binout.147,3,0
Li32185_S62_Maxbin2out.038,3,0
Li32188_S65_Metabat2_binout.49,3,0
Li32190_S67_Metabat2_binout.49,3,0
Li32200_S77_Metabat2_binout.125,3,0
Li32202_S79_Metabat2_binout.54,3,0
Li32203_S80_Maxbin2out.015,3,0
Li32136_S13_Metabat2_binout.3,4,1
Li32144_S21_Maxbin2out.005,4,1
Li32165_S42_Metabat2_binout.103,4,1
Li32169_S46_Metabat2_binout.91,4,1
Li32128_S5_Metabat2_binout.98,4,0
Li32137_S14_Maxbin2out.008,4,0
Li32144_S21_Maxbin2out.039,4,0
Li32162_S39_Metabat2_binout.75,4,0
Li32184_S61_Metabat2_binout.76,4,0
Li32186_S63_Maxbin2out.006,4,0
Li32195_S72_Metabat2_binout.19,4,0
Li32195_S72_Metabat2_binout.97,4,0
Li32201_S78_Maxbin2out.011,4,0
Li32204_S81_Metabat2_binout.103,4,0
Li32133_S10_Metabat2_binout.43,5,1
Li32155_S32_Metabat2_binout.128,5,1
Li32197_S74_Maxbin2out.025,5,1
Li32130_S7_Maxbin2out.005,5,0
Li32130_S7_Maxbin2out.047,5,0
Li32139_S16_Maxbin2out.018,5,0
Li32141_S18_Maxbin2out.030,5,0
Li32143_S20_Metabat2_binout.18,5,0
Li32143_S20_Metabat2_binout.23,5,0
Li32149_S26_Maxbin2out.036,5,0
Li32153_S30_Metabat2_binout.122,5,0
Li32157_S34_Metabat2_binout.83,5,0
Li32160_S37_Metabat2_binout.1,5,0
Li32161_S38_Metabat2_binout.6,5,0
Li32168_S45_Maxbin2out.030,5,0
Li32185_S62_Maxbin2out.030,5,0
Li32205_S82_Maxbin2out.018,5,0
Li32206_S83_Metabat2_binout.105,5,0
Li32176_S53_Metabat2_binout.13,6,1
Li32130_S7_Metabat2_binout.24,6,0
Li32132_S9_Maxbin2out.002,6,0
Li32140_S17_Maxbin2out.036,6,0
Li32160_S37_Metabat2_binout.3,6,0
Li32169_S46_Metabat2_binout.90,6,0
Li32170_S47_Metabat2_binout.22,6,0
Li32174_S51_Metabat2_binout.92,6,0
Li32203_S80_Metabat2_binout.7,6,0
Li32134_S11_Metabat2_binout.34,7,0
Li32141_S18_Maxbin2out.045,7,0
Li32144_S21_Metabat2_binout.38,7,0
Li32166_S43_Metabat2_binout.131,7,0
Li32166_S43_Metabat2_binout.45,7,0
Li32177_S54_Metabat2_binout.56,7,0
Li32130_S7_Metabat2_binout.40,8,2
Li32158_S35_Metabat2_binout.103,8,1
Li32185_S62_Metabat2_binout.13,8,1
Li32160_S37_Metabat2_binout.23,9,1
Li32161_S38_Metabat2_binout.51,9,1
Li32181_S58_Maxbin2out.011,9,1
Li32143_S20_Metabat2_binout.6,9,0
Li32125_S2_Metabat2_binout.60,10,0
Li32134_S11_Metabat2_binout.26,10,0
Li32151_S28_Metabat2_binout.3,11,0
Li32175_S52_Metabat2_binout.118,12,1
Li32185_S62_Metabat2_binout.65,13,0
Li32144_S21_Metabat2_binout.105,14,0
Li32138_S15_Metabat2_binout.21,15,1
Li32138_S15_Metabat2_binout.85,15,1
Li32154_S31_Metabat2_binout.97,15,1
Li32130_S7_Metabat2_binout.56,16,1
Li32195_S72_Metabat2_binout.32,17,1
Li32125_S2_Metabat2_binout.16,18,1
Li32137_S14_Metabat2_binout.51,18,0
Li32166_S43_Metabat2_binout.54,19,1
Li32191_S68_Metabat2_binout.40,28,2
Li32146_S23_Metabat2_binout.6,33,2
Li32143_S20_Metabat2_binout.64,33,1
Li32144_S21_Metabat2_binout.53,39,1
Li32192_S69_Metabat2_binout.90,39,1
