compound,OA01A,OA01B,OA01C,OA01D,OA02A,OA02B,OA02C,OA03A,OA04A,OA04B,OA04C,OA04D,OA05A,OA05B,OA05C,OA05D,OA06A,OA06B,OA06C,OA06D,OA07A,OA08A,OA08B,OA08C,OA08D,OA09A,OA09B,OA09C,OA09D,OA10A,OA10B,OA10C,OA10D,OA11A,OA11B,OA11C,OA11D,OA12A,OA12B,OA12C,OA12D,OA13A,OA13B,OA13C,OA13D,OA14A,OA14B,OA14C,OA14D,OA15A,OA17A,OA17B,OA18A,OA19A,OA19B,OA19C,OA20A,OA20B,OA20C,OA20D,OA21A,OA21B,OA22A,OA22B,OA23A,OA23B,OA23C,OA23D,OA24A,OA24B,OA24C,OA24D,OA25A,OA25B,OA25C,OA26A,OA26B,OA26C,OA26D,OA27A,OA27B,OA27C,OA27D,OA28A,OA28B,OA28C,OA29A,OA29B,OA29C,OA29D,OA30A,OA30B,OA30C,OA30D,OA31A,OA32A,OA33A,OA33B,OA33C,OA34A,OA34B,OA34C,OA35A,OA35B,OA35C,OA36A,OA36B,OA36C,OA37A,OA37B,OA37C,OA38A,OA39A,OA39B,OA39C,OA40A,OA40B,OA40C,OA41A,OA42A,OA42B,OA43A,OA44A,OA44B,OA44C,OA45A,OA45B,OA45C,OA46A,OA47A,OA48A,OA49A,OA50A,OA50B,OA51A,OA52A,OA53A,OA54A,MidBlank5,MidBlank5_20211106182526,MidBlank5_20211107140832,MidBlank5_20211107083353,MidBlank5_20211107175140,MidBlank5_20211107022718,MidBlank5_20211107213449,MidBlank5_20211107000008,MidBlank6,MidBlank6_20211107215045,MidBlank7,MidBlank7_20211107220641,MidBlank7_20211108003015,MidBlank7_20211107232625
4-METHYL-2-OXO-PENTANOIC ACID,730604.94,757571.31,836750.44,1148473,581783.94,796411.81,643644.75,662822.81,703144.75,737088.25,1033748.5,770929.69,654589.94,893643,747007.19,1055911.62,443369.66,473152.22,472599.75,629722.06,648315,775915.06,604786.75,1001110.19,867504,914055.5,1032180.81,949273.69,662291.44,788290.44,788975,671234.19,1031867.5,506434.97,554103.62,756062,645147.19,796299.31,802745.25,709982,924079,774204.5,806597.31,877800.25,729880.31,716216.44,531991.19,628289,428532.88,880196.25,745468.19,538881.69,638298.31,495204.5,605152.06,1172978.75,669942.31,842955.19,783933.75,650493.75,766038.44,718672.31,552877.94,591472.31,1115536.12,1118015,1469285.88,1050530.88,587227.31,1013986.5,592003.06,623022.31,734550.94,545029.94,795815.31,700052.69,839919.5,936178.69,679700.94,418288.09,466288.91,465761.88,493582,1064331.62,1007014.5,870826.19,571349.56,508435.5,634345.31,616917.56,937897.81,826219.56,861965.81,774769,596436.62,969420.69,858317.06,689853.94,694228.94,516788,551022.31,562075,594755.94,614863.69,660537,928778.81,880351.69,1158823.62,954547.06,956399.06,877957.31,532599.5,924449.56,877093.31,746376.94,735510.44,1134168.12,1069107.88,670012.19,480708.66,970297.31,407774.78,631303,496423.22,358863.66,479347.91,777550,692561.19,610415.62,517341.34,746325.19,719703,838004.69,1730521.12,670846.5,648637.19,954254.81,436412.5,4083.29,4406.51,4072.4,4201.12,3948.67,3944.32,2973.95,3231.81,1429.94,2490.63,4288.43,3837.21,4479.14,4076.07
CREATINE,16834.84,15352.32,16629.34,24194.92,13022.62,12813.5,10694.86,6261.21,10511.82,5518.31,15923.95,6773.8,8455.2,11990.81,11760.41,6170.21,11071.71,10032.6,13196.79,22767.67,19360.62,13642.1,4995.77,27182.17,9328.05,4246.86,11366.18,5702.33,6913.42,6196.99,6798.66,5449.81,6965.06,5167.25,4332.98,9922.1,6733.42,19258.57,24234.59,21373.01,38276.5,15774.26,26917.16,33218.57,32413.21,5204.87,5356.67,6191.67,3810.53,30046.34,11976.29,8194.71,4505.2,6588.89,14139.77,31478.37,16112.35,15110.52,24531.63,13367.78,20037.89,15876.19,6657.95,6008.13,5912.26,15363.48,29905.61,16742.95,3624.16,3449.91,5498.88,6269.81,5603.08,3241.6,5760.49,12573.04,12495.83,7908.52,6013.92,8262.15,14183.51,5153.67,9204.1,26359.07,15426.52,14718.21,19795.93,16338.04,10626.96,7126.75,4631.29,4574.25,4993.04,5721.72,16799.07,27727.84,3707.96,4045.68,3004.03,7937.7,6579.24,6925.05,4349.31,3451.79,5687.04,19787.88,8793.86,7303.77,4214.07,3328.5,5128.81,8887.94,8810.33,4604.8,5686.65,38117.95,11309.49,5424.76,15892.41,8763.73,21346.4,6567.25,6301.44,3238.14,5087.65,4357.05,26023.14,25992.34,15891.16,8792.01,12188.01,10559.73,10096.67,22539.62,19444.34,13684.89,8368.73,7343.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEUCINE,33567.16,32358.95,47896.9,84970.05,27628.05,42636.98,42958.59,40707.12,33547.44,49018.56,54613.09,47043.86,36115.23,42830.48,39599.18,51846.11,29933.95,40801.42,30220.54,67885.48,47253.34,46299.72,39596.06,62691.33,59485.62,45900.87,80739.55,46624.16,32677.22,41217.41,43160.9,35482.69,58951.59,48809.43,47531.75,58585.8,53561.14,31510.67,61703.8,41025.63,63959.19,47197.14,59532.13,68802.2,50119.54,30062.05,20061.17,35487.69,22326.09,50385,48834.35,24445.59,27267.68,27764.65,63310.22,84165.94,41405.24,39826,69514.82,35903.77,43394.85,34875.1,38207.7,37625.2,35322.11,41742.29,64416.83,46612.42,35822.76,31248.48,47171.11,34041.09,33542.94,26967.22,36481,44468.52,42677.06,44829.21,27697.64,28301.47,25192.99,22901.49,27739.82,60010.53,49246.64,45236.94,37168.8,30649.78,45212.23,31261.87,53631.12,48056.07,41726.64,43635.32,24210.85,49894.61,55775.14,39548.33,33437.49,26714.68,31459.24,37296.79,37005.55,28080.13,40482.09,58654.09,49871.2,40936.07,46542,42486.76,37011.54,33031.26,36930.67,22424.08,22706.26,39809.22,30700.04,58395.19,34030.56,23794.1,50527.28,23019.68,50241.32,34675.11,24898.2,26078.05,52095,54040.86,49585.72,32380.93,39344.75,32072.96,27925.58,53619.9,38514.62,29903.12,43402.6,28960.26,4150.21,4216.65,3284.74,3629.02,3045.69,3578.71,3278.93,4906.51,2296.12,2540.76,2111.22,2193.73,3194.28,2249.26
GLUTARATE,6708.18,22422.54,20965.08,66036.12,52042.76,28094.15,57109.83,19159.69,15392.08,18585.53,28316.09,53046.67,33526.5,36353.53,38709.6,43915.9,17675.45,20392.99,15340.84,40442.22,16199.16,8326.73,17474.49,17521.54,41629.41,24549.58,16226.06,46911.74,69487.28,16793.56,7413.06,25168.38,34428.79,24687.9,29924.93,30968.18,42729.79,11989.56,13350.07,58583.62,40243.01,12515.16,10001.24,62049.61,37381.5,13046.43,35411.54,76706.12,144339.77,23013.9,5579.93,14452.43,14192.87,10582.46,19042.55,67309.45,9608.33,15915.79,65654.13,29350.37,14678.11,25369.39,8656.4,14793.5,26285.88,13077.11,56763.91,39169.21,36053.8,21924.89,108895.48,25114.53,9578.41,42741.36,100989.79,16006.5,32599.36,51375.42,37665.91,16284.32,16970.79,65102.08,44799.11,18970.22,44642.26,87113.09,80868.97,61046.86,588067.62,92520.69,12890.21,23903.03,34782.82,34272.56,18829.6,17417.21,27754.48,20242.74,38645.81,10479.14,17227.14,86854.21,24638.35,41798.01,67255.71,8960.73,21560,41547.62,16312.17,23811.5,31830.95,15886.28,33106.84,32070.73,50498.97,20697.32,37149.38,43733.31,34810.96,23876.21,20616.07,42657.18,37158.16,27286.92,82242.89,38346.04,19918.8,42038.3,21078.88,26039.31,29390.92,15426.5,18273.71,28471.15,15342.78,17637.25,16943.85,16840.99,5893.81,3248.57,5318.69,4175.71,5248.76,3497.03,5101.01,2407.38,3433.06,8913.78,4932.57,5784.76,7753.78,7352.06
L-ORNITHINE,211423.38,160463.83,212954.88,234845.8,135338.86,159131.69,215963.67,152115.86,212974.3,185226.05,265172.22,207930.92,175887.5,178167.39,211287.12,143875.61,183303.12,149939.56,183791.73,218114.83,149073.77,170853.69,138553.48,271223.91,211105.17,161100.23,243174.89,186079.92,160487.73,179165.25,168672.94,174418.11,219495.06,180213.77,194016.5,245960.77,202943.67,168660.08,298625.88,311275.84,354486.97,216943.62,319870.62,302716.94,344293.62,166184.02,168572.2,187241.67,123447.24,119222.57,179429,124547.77,134334.61,138039.39,246624.3,263685.59,162097.44,198678.92,239351.73,182965.56,238083.73,192992.08,124480.09,152025.7,157918.33,164140.48,183855.17,180501.25,225329.61,199603.31,250877.98,245816.27,182754.12,206827.77,188444.69,142001.2,158990.25,120725.6,143820.84,152249.56,175999.73,159137.77,190130.42,211200.86,228415.2,213033.17,223493.2,215370.7,317375.03,205611.25,170411.92,222835.3,181346.98,189407.95,216396,217473.31,166648.66,134496.89,174245.95,117258.71,189713.05,168024.11,77195.07,91055.44,127638.54,150747.05,158837.23,156758.02,175503.94,176875.17,278677.53,195193.81,135952.28,145964.38,164873.66,202351.8,261628.77,270601.09,154652.89,130851.19,195520.75,75202.8,206716.2,219825.11,165392.08,148234.67,214796.36,286712.5,187328.58,149939.31,262894.34,224188.3,174126.52,248713.77,216846.2,154224.62,146196.44,187166.8,3470.51,1122.06,2167.7,2360.37,3322,2837.06,2677.01,3614.59,579.03,1456.09,604.2,720.88,2334.19,583.62
HYPOXANTHINE,412245.22,601299.94,373909.25,541139.81,734810.75,197414.95,1149456.5,748699,165410.59,347600.72,453940.41,327444.78,611830.12,541239.69,437403.5,848129.31,530910.12,684052,283259.47,899493.5,249980.12,446488,557051.69,505592.16,625921.69,146818.42,242052.27,323017.34,399502.75,187782.7,661497,411087,748217.69,515569.75,488752.22,435422.72,466239.62,466947.22,1090321.62,573859.75,489565.34,270166.53,948513.75,1030196.81,249023.92,148529.73,243359.62,887594.25,526524.69,322430.5,359351.41,500114.28,529102,194262.94,212334.12,310587.53,801274.56,420975.03,1016384.5,507987,491762.22,442941.16,210348.75,895631.31,175810.06,512925.91,1031724.31,377125.62,94337.79,304497.81,747229.81,299169.22,275782.34,150663.44,500403.78,390976.91,749429.81,662484,161462.86,943887.25,136516.23,599607.75,229727.8,177308.31,394752.16,316297.78,493169.5,956129.69,1389880.88,480739.09,279374.66,227897.64,337768.72,327829.19,817824.69,534988.69,423295.72,290979.72,330907.84,523771.09,193044.48,250066.67,328015.59,205982.83,543439.56,419524.91,925745.31,557247.06,328896.16,172443.44,464258.09,317605.91,503380,603885.62,535290.81,237118.38,1147672.88,990129.56,1722370.62,590796.25,83315.54,662292.81,1579804.12,466698,160427.22,454941.91,451830.5,195128.06,706737.56,612110.25,244053.17,295617.16,393334.59,276036.53,469678.97,655116.06,967917.69,561098.62,15439.55,19827.79,28613.42,18122.07,25216.04,17859.21,29626.68,18010.67,19306.68,24534.47,23052.7,22002.68,23282.49,27344.77
PHENYLACETIC ACID,6040.25,2813.8,10072.2,3603.38,15545.6,22445.53,14628.2,7258.08,12642.37,6600.7,16116.33,9423.65,8827.08,625946.62,7241.81,43490.75,3450.56,4079.72,2050.63,7850.56,2582.09,8431.08,38907.98,26304.09,21108.66,20726.94,86678.09,16262.62,22009.62,6109.75,4708.16,8210.73,9117.62,107160.01,65629.41,154478.11,175016.69,45682.58,31314.01,44667.71,36694.95,32867.14,43258.68,46181.94,40988.53,5894.07,9098.69,6329.61,7810.22,36627.18,18069.55,41974.57,25788.12,32215.81,20402.67,35337.33,34841.26,9044.44,20772.71,10340.43,70053.15,444379.12,9081.25,4686.66,9061.74,37999.5,17998.42,22291.48,3104.53,4545.82,8206.15,2854.15,14153,27282.56,31573.86,23339.24,6654.73,9391.91,16862.62,48540.8,94898.74,77202.49,30330.71,10103.42,19237.42,18450.29,13396.18,341502,16589.28,10384.19,56260.36,44453.23,44476.68,80225.23,18812.84,12718.94,3062.94,9200.96,15560.42,2184.4,4139.26,5675.87,38915.29,32316.23,74205.79,2627.76,19183.35,11954.93,14657.97,62376.96,31176.01,28357.55,21292.49,14858.1,19635.9,3120.56,12534.49,43230.75,58057.51,15760.84,16057.5,62821.04,5119.6,35252.22,43812.67,29318.74,392711.91,152883.38,256850.55,16562.4,25108.68,13750.2,4845.2,70916.24,2455.02,4773.32,8929.76,24840.26,7986.08,7433.37,8711.86,5408.05,12002.85,13047.42,17456.72,8832.51,10655.2,14876.95,10515.66,12561.18,5629.79,8452.08
3-HYDROXYBENZOATE,9836.71,11620.02,3878.03,4290.77,7617.09,9389.54,9385.2,19304.53,8384.76,6933.16,8960.07,2259.94,7606.93,15351.66,19554.09,6757.71,8279.98,9547.95,12919.14,6215.73,8454.31,12697.9,7779.64,8420.53,10404.65,9342.63,5552.1,9247.45,10380.57,9468.35,13437.91,61516.05,6854.43,3309.22,17531.09,69223.94,13400.79,7567,6652.7,7741.79,3440.05,4089.44,6196.24,6537.31,9661.01,9925.29,5190.6,19185,29860.93,8933.01,13386.12,11606.9,10234.16,8635.42,10331.38,39820.43,13725.86,8966.31,218376.69,92645.01,6815.58,12773.51,8492.86,6519.12,8750.55,12527.61,26976.19,21122.37,2831.34,10426.01,6865.18,6210.65,4513.6,14611.96,8045.51,154574.73,31184.75,26075.6,6180.49,10133.63,9373.11,4934.58,2954.13,6315.15,6074.14,12113.43,11491.68,8846.78,6095.99,11808.68,11223.01,10175.71,9499.05,8392.67,23917.35,3361.76,6826.96,9649.59,4873.48,6969.6,5133.04,8383.08,6773.33,4146.8,9927.92,9489.33,2576.83,14974.35,15722.14,9109.57,16033.14,3438.74,16430.8,31137.91,33444.51,6278.9,4135.83,8742.45,3859.03,5676.82,3899.69,7519.12,12515.21,32437.51,32780.88,9530.86,8133.94,9473.25,8902.2,5955.28,5117.49,9143.92,6172.64,3749.57,12059.33,7469.98,10539.31,13101.41,8258.18,6421.65,8733.67,6857.29,7981.67,5621.26,9345.26,7437.8,6971.4,9326.44,7219.76,7912.07,5757.66,8046
SALICYLATE,137384.89,7602.74,24108.2,11058.93,6034.25,7103.23,8160.69,10893.28,3647.99,6067.97,16654.1,26626.41,3635.25,9470.35,5213.99,6747.68,6020.94,4222.73,9113.66,4004.7,2723.59,33325.41,9205.54,22479.29,46358.36,4721.49,4350.98,6042.86,6778.66,10484.26,1426104,568226.75,9363.38,8117.75,11969.3,115684.71,6414.86,6843.52,11654.89,9357.86,7729.72,4811.91,3298.57,32493.65,8786.53,13737.63,7455.57,45790.07,55737.25,4724.44,6640.72,13375.8,3671.03,7425.95,11137.21,13991.05,10715.03,11314.72,4408565,2312024.25,14458.07,4034.53,7685.09,9524.69,3086.72,10707.79,18672.22,9636.34,17426.58,9465.28,13463.63,15611.24,6955.35,32519.21,7534.53,6492.92,14169.47,7496.51,3198.58,7938.15,9803.77,3714.59,5343.81,7021.52,7045.98,3698.2,100675.71,4954.63,7398.87,7137.2,7715.87,9647.25,2575.35,9789.14,117766.47,10759.75,3689.04,3745.74,3461.49,7402.58,2858.13,12003.57,5230.85,3568.5,3034.59,6975.34,10803.83,22131.83,49892.31,73588.21,7894.01,6645.13,4733.5,9576.63,12354.54,4899.13,3865.35,5494.57,7251.9,7130.41,6137.67,3435.1,85005.66,143722.7,675225.56,5813.5,13869.07,9534.35,8082.4,8390.08,6942.49,6265.95,4162.93,3730.32,7180.29,3305.89,23367.51,10655.83,3907.87,4842.93,3970.9,2102.32,2917.04,4605.93,4812.73,3489.64,4488.87,3072.03,4932.3,5549.93,3475.17,3188.37
ADIPIC ACID,17066.76,20428.37,23968.18,59573.82,15016.35,21670.61,29951.25,31134.23,16886.14,26128.4,25986.75,50844.39,77149.48,27785.18,46941.25,27790.62,17359.3,22057.44,20999.82,35780.34,18215.79,17902.7,30624.26,29410.84,47898.43,31719.23,30884.64,22401.3,33994.5,21558.17,19987.48,190575.33,31106.87,30035.53,27136.53,44798.48,43724.44,18305.16,26309.45,37283.14,35428.82,33140.16,27646.2,38098.1,37187.36,33759.43,44044.75,56019.59,55456.86,23544.61,17536.57,23868.24,23399.85,37771.31,40023.92,54375.66,24983.74,26228.74,50381.81,40386.56,33205.56,25810.7,26047.92,27023.75,36171.36,26831.9,42989.41,31102.72,38695.14,18376.31,42929.09,31785.58,24242.18,44427.88,40214.72,25865.02,32324.14,28186.38,31670.18,26838.79,17958.25,59531.94,45180.86,21273.74,22095.84,42991.93,22993.34,34434.31,376725.03,28811.9,24880.9,33377.11,35306.95,37814.21,19656.02,35374.5,26535.21,30677.86,35060.91,12876.68,29944.21,40378.85,21104.83,36173.79,52810.73,28868.29,33260.76,44240.77,31418.07,22504.21,30335.75,32914.87,25974.22,38346.78,44491.79,27703.44,26812.95,37341.81,17984.06,22639.53,42457,79886.15,23542.78,32013.23,43012.27,21392.74,34313.81,39110.29,24660.7,40044.24,39295.86,18949.79,29644.38,29187.3,25507.08,26274.58,21712.91,34228.4,9026.93,8219.87,9658.5,9366.37,13576.31,10960.88,10750.78,10607.51,11168.81,11566.49,10199.57,11952.52,9543.23,15581.8
L-GLUTAMINE,716102.5,774207.31,637742.31,906156.81,650215.62,617467.25,886773.19,660426.81,884519.94,818864.69,961603.81,870199.81,856492.44,860301.44,1051800.62,794694.5,754185.81,688975.31,697076.25,723277.25,688127.31,622645.56,602169.69,786619,780403,725018.06,592814.5,645706.56,567686.5,780498.94,819258.44,893554.56,993587.75,663021,727648.31,989129.31,895838.19,693823.06,671467.25,1063581,1145161,537802.62,614534.94,784486.06,797659.81,827260.44,818793.94,896703.19,809779.25,516640.34,625779.31,536999.19,675509.94,694653.06,890687.06,865738.5,722474.69,896094,1032161.69,925893,708876.44,756148.75,622988.5,752395.25,698113.06,603913.5,601431.81,692504.75,788187.06,798607.31,1011498.19,782176.5,679149.94,858788.44,826464.31,584300.69,683474.69,599940.81,834905.69,737154.25,815923,869678.31,797206.81,585955.56,690856,716982.69,624776.19,712175,634552.5,671125.31,767367.75,932886.44,848820.5,867728.5,586968.06,684552.19,568605.88,588285.94,678866.75,670020,855518.44,847052,524772.31,544178.94,535679.19,570424,694779.56,674583.56,708128.5,654662.44,766291.69,739156.31,644687.62,586445.19,735717.81,741853,857052.5,952803.31,619995.56,540451.75,877250,759551,955419.31,1022094.44,782434.75,736215.5,761389.19,1000005.31,734618.06,726930.31,680031.81,618059.62,874563.06,855868.81,762145.81,603664.75,540307.25,890482.75,5963.7,7450.37,5415.31,7514.62,7445.86,5236.15,7032.04,6864.55,3205.79,2859.17,1629.07,2282.57,348.64,443.24
L-LYSINE,5349.19,4257.26,7463.86,7370.45,3636.79,4194.84,5133.31,6252.14,6102.14,5179.51,10650.37,6767.49,6212.08,4270.43,6906.15,4955.56,4003.67,4270.07,3101.15,6200.49,4192.24,5829.2,6381.46,10586.29,5493.71,6064.51,8656.97,4244.69,5045.78,4933.91,7104.8,6346.57,4930.23,5910.87,3860.87,7196.88,5079.63,4659.27,9408.57,6320.75,8968.74,4652.97,8633.73,8707.28,6037.42,3877.67,3650.37,5341.52,4650.59,7174.21,5784.02,2167.12,5900.62,4903.04,10810.38,16537.31,6439.81,5979.23,5600.94,4893.3,5950.55,6751.4,6560.12,7302.12,4668.73,6171.49,8914.25,6476.61,4036.67,5354.79,5224.23,2984.47,4308.67,4912.3,5745.62,3170.78,7688.06,4865.36,5012.01,3355.45,7398.74,5227.94,3955.83,8147.89,4739.88,9089.46,5634.08,6806.06,5627.85,6945.34,6274.58,7864.5,4421.92,5952.62,4109.41,4764.15,5552.97,3777.28,3999.8,3579.57,6307.42,3910.52,3499.65,2556.53,5577.22,5553.29,5879.39,2715.35,7359.85,2760.86,4778.27,6964.57,4705.78,4944.15,2737.43,8011.61,6216.16,6938.52,7225.61,1601.66,4249.44,4061.54,7286.31,4906.19,2081.2,5781.11,5673.67,5904.09,6425.24,3722.67,6585.47,5544.76,3384.99,6448.77,7267.12,5119.76,4069.28,6225.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L-GLUTAMIC ACID,31963.28,42863.54,76763.51,113128.1,49064.96,21660.34,52470.38,81142.65,18304.87,28659.02,66565.63,65858.29,77830.48,54953.84,52526.92,84698.66,43186.21,43672.91,48930.46,60275.03,17952.17,40403.43,50256.75,77722.8,52411.06,45382.39,109278.1,59645.02,45527.33,22914.54,31322.7,105965.98,81232.84,120083.27,112806.09,127438.73,99874.12,36166.93,63677.55,33707.86,34813.8,36495.78,78964.05,98413.45,49767.61,30679.99,62901.28,81357.79,50848.95,120151.12,21160.15,52297.73,18062.38,15394.94,20388.21,28187.26,46023.03,37844.8,106583.73,83239.32,33162.81,46978.72,72171.78,85326.74,40715.39,64075.07,101460.38,80263.65,15225.61,14896.57,35755.91,75245.65,26777.74,33993.7,29103.32,37060.73,60610.05,76848.51,60235.43,30390.45,40665.19,37617.66,29663.88,50905.07,86396.89,29837.64,34099.87,65747.52,127813.51,40433.33,42421.08,26211.05,56499.86,49222.06,78865.23,55839.05,56955.19,92713.66,97427.07,93437.88,55074.32,51646.89,50822.3,40295.42,38943.01,49847.11,76221.01,68237.56,26460.35,23654.85,54820.25,26323.97,45179.17,32644.22,37175.36,44896.75,61974.89,40448.12,118251.87,43836.8,25552.59,94139.49,93084.48,45633.23,81801.34,24170.46,94380.57,79116.77,64698.44,64372.87,21292.99,21214.02,55407.52,29214.68,81410.56,87926.38,192671.77,41828,909.38,611.55,1275.43,447.09,1354.43,959.51,691.8,565.9,490.57,667.32,471.02,456.08,383.29,0
XANTHINE,209317.38,289252.78,157035.38,200918.42,573382.31,244041.67,644839.56,300584.06,112889.26,147954.02,134858.31,181183.12,257673.95,317670.22,254273.33,386680.41,214791.23,284410.78,144272.48,424185.22,149964.02,193303.83,231956.69,188837.69,277502.97,421497,520559.84,431500.59,493236.41,125286.96,249308.98,226665.23,404377.88,1321603.12,1007074.06,1698649.62,1567799.38,220650.42,417043.16,258157.27,233149.25,206465.11,339335.22,455606.47,150713.2,151232.95,174481.86,468663.75,280404.84,138314.89,169475.23,265861.91,273900.06,150260.69,93390.43,195604.12,265670.19,181976.77,433282.66,211679.95,176686.95,215690.75,191166.55,358546.72,141334.09,192588.3,595350.69,200408.64,94312.26,157091.45,403803.25,115866.12,148420.3,90931.12,232550.75,157731.12,343340.84,315313.66,112495.19,324327.25,147068.41,386714.22,129654.87,165596.19,178890.55,237586.7,196753.8,455423,651928.31,228035.86,158586.98,180549.38,219629.06,180756.75,386501.66,242717.3,236125.3,185727,199349.02,263952.97,121671.51,177279.33,157464.61,130862.03,362456.22,231362.17,338399.91,162992.11,241447.94,112746.5,205380.8,189451.5,427604.41,339993.59,370559.5,191342.86,242942.67,374772.97,563288.31,343837.22,87445.66,445481.91,434193.09,343602.59,182890.12,281455.28,184627.67,120479.49,242415.08,421515.75,190819.64,195953.42,217643.83,170744.67,283196.59,482041.41,342883,345152.12,66773.23,68951.41,81487.03,85871.68,80757.86,58322.26,75558.41,79876.62,70218.59,85693.12,83855.79,89661.48,81013.15,87109.54
3-HYDROXYPHENYLACETATE,35148.84,17839.32,24145.72,62699.35,26093.85,19400.37,651994.31,979102.81,60618.03,18881.48,43754.78,866616.31,32706.88,58990.74,33290.11,102968.28,23437.36,35932.47,37594.64,19608.73,49790.57,846359.31,579361.88,43459.25,60543.24,277068.19,52238.59,50657.29,94994.31,395844.09,51746.54,5567705,398561.84,72076.32,44030.48,114576.59,76191.3,116244.56,44051.29,79892.98,458973.59,24537.62,23655.64,58136.04,31058.23,21853.15,90901.84,33830.4,46849.16,2435557.75,109109.46,84696.76,21508.56,29244.62,43914.38,390535.47,22612.8,16787.16,44131.36,30326.5,334499.53,173935.61,139970.23,134992.23,22848.12,60352.36,965980,363381.53,28103.29,18649.31,69934.4,46329.14,424665.34,539070.75,686625.31,179854.27,239025.92,204213.7,137211.69,384193.25,230725.64,246645.58,180920.05,34510.24,32506.5,46492.52,54112.05,78640.95,67648.62,38973.59,26419.53,36579.83,30714.31,49273.8,35804.01,19010.62,75301.12,39205.05,22110.03,24730.68,735055.56,35272.18,62555.18,180964.42,89010.87,22660.58,32779.52,35529.82,50232.31,1716126.12,105744.66,65261.25,501365.59,1624838.12,1377207.5,39576.56,54009.39,51966.77,1282677.38,12868.14,138092.19,33425.28,39448.54,580007.69,64942.05,105224.37,121411.1,59976.02,20216.48,1860457.38,16895.21,13290.75,28239.39,18207.64,36417.42,27775.34,24480.77,48005.25,4172.1,3939.47,1602.84,6013.03,10014.45,4276.74,7869.2,6502.53,8341,8729.04,7246.14,8792.1,6356.94,3988.2
ALLANTOIN,77315.37,71367.81,129419.35,61495.72,213068.33,67512.5,195902.58,203274,210202.05,121743.75,298895.22,178422.62,156847.47,102191.43,226451.5,105748.04,200237.8,238158.12,112876.88,197398.88,135437.05,258225.17,178578.52,319068,133901.25,207733.7,193204.7,404320.16,219935.17,163523.23,104914.84,95150.8,196637.48,546036.44,343408.47,365983.38,306936.28,215989.3,101880.77,169963.34,237701.27,119528.37,89380.04,154002.52,128236.3,163360.62,125360.44,255225.67,157735.89,175571.64,126041.54,183697.2,108970.9,167836.17,153059.55,222181.55,296475.06,139963.89,356595.78,255811.58,157699.2,120970.81,114325.09,208559.64,110870.05,114014.96,158825.3,78618.7,84967.28,58138.37,247795.11,87963.38,172645.7,215542.14,197000.75,112415.12,147500.39,112812.06,135375.77,176008.31,330505.62,272612,178806,156839.61,241581.55,269546.38,103935.51,133552.98,96848.59,78730.81,180393.77,170527.98,162096.42,228054.17,198266.81,130841.51,139367.67,212712.31,136929.48,104485.29,263856.53,143639.91,261223.12,231356.08,172580.75,103599.03,173276.83,153873.36,113624.84,142365.45,164437.86,152776.33,149162.36,167054.27,133400.86,136424.09,133161.77,272311.34,153877.02,79370.9,117700.91,98710.71,171635.89,180188.39,138104.88,149972.3,169161.05,232210.2,161726.39,178251.92,122755.41,173702.11,66165.16,122359.15,157143.11,164862.64,269347.47,115013.46,2527.53,1361.38,3226.95,1549.3,1409.04,2090.13,1869.31,1400.89,1248.19,1572.4,1339.27,1200.83,1395.46,1102.21
6-CARBOXYHEXANOATE,19479.79,31135.18,69852.75,189063.89,28569.29,33566.38,58861.35,45604.53,30032.66,40774.28,56941.57,198973.3,41941.31,30409.98,78254.15,113473.31,31081.23,46022.55,65629.4,109255,44298.2,82452.05,101450.45,121740.9,152917.19,36602.68,43797.83,102473.59,97950.7,37275.08,38028.64,64117.38,146701.25,88943.52,66815.35,193194,189046.5,72412.49,52665.99,215194.31,171505.81,54879.98,45774.89,193173.58,168978.81,31686.13,131494.42,202128.92,155737.73,42636.5,33899.87,62935.11,38558.2,73401.65,77078.91,237424.27,63790.39,44427.39,216835.58,129889.5,49320.05,62880.69,29356.64,42910.99,87663.4,57937.48,200103.25,123062.43,96166.99,40067.56,285814.84,105588.97,34384.23,90623.25,240494.56,55918.64,67635.23,171402.31,94121.69,55035.71,69566.6,195393.11,108089.56,47158.26,50823.94,186252.95,31112.61,84062.09,1577211,69034.21,52227.77,79443.62,130391.5,121861.19,33376.64,65355.64,50780.88,83532.39,150763.23,22069.12,64228.31,277398.91,71649.12,132982.67,184070.8,33312.79,98464.71,232001.88,61455.39,94211.18,171964.48,67957.35,96973.63,101414.18,135120.09,45573.56,57504.59,183120.95,19853.81,45527.95,91436.77,57708.46,29417.98,78471.41,102302.03,54024.11,91625.98,186685.42,57109.57,76724.52,49756.69,64902.42,66009.55,139306.92,44062.95,74861.48,53681.52,71408.23,14806.93,4464.77,14767.32,11976.38,12726.95,18125.65,12969.41,11033.01,14856.16,15046.4,10550.11,12809.49,12053.04,15212.98
