Phylum,Class,Order,Family,Genus,Species
p__Actinobacteria,c__Coriobacteriia,o__Eggerthellales,f__Eggerthellaceae,g__Enteroscipio,s__Enteroscipio_rubneri
p__Actinobacteria,c__Coriobacteriia,o__Eggerthellales,f__Eggerthellaceae,g__Enteroscipio,s__Enteroscipio_rubneri
p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Erysipelatoclostridium,s__Erysipelatoclostridium_ramosum
p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Erysipelatoclostridium,s__Erysipelatoclostridium_ramosum
p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Erysipelatoclostridium,s__Erysipelatoclostridium_SGB66626
p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Erysipelatoclostridium,s__Erysipelatoclostridium_SGB66626
p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Erysipelatoclostridium,s__Erysipelatoclostridium_sp_An15
p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Erysipelatoclostridium,s__Erysipelatoclostridium_sp_An15
p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Erysipelotrichaceae_unclassified,s__Erysipelotrichaceae_bacterium_LH1062
p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Erysipelotrichaceae_unclassified,s__Erysipelotrichaceae_bacterium_LH1062
p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia_coli
p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia_coli
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae,g__Eubacteriaceae_unclassified,s__Eubacteriaceae_bacterium
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae,g__Eubacteriaceae_unclassified,s__Eubacteriaceae_bacterium
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae,g__Eubacteriaceae_unclassified,s__Eubacteriaceae_bacterium
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae,g__Eubacteriaceae_unclassified,s__Eubacteriaceae_bacterium
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae,g__Eubacteriaceae_unclassified,s__Eubacteriaceae_bacterium
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae,g__Eubacteriaceae_unclassified,s__Eubacteriaceae_bacterium
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae,g__Eubacteriaceae_unclassified,s__Eubacteriaceae_bacterium_Marseille_Q4139
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae,g__Eubacteriaceae_unclassified,s__Eubacteriaceae_bacterium_Marseille_Q4139
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae,g__Eubacteriaceae_unclassified,s__Eubacteriaceae_unclassified_SGB59822
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae,g__Eubacteriaceae_unclassified,s__Eubacteriaceae_unclassified_SGB59822
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae,g__Eubacteriaceae_unclassified,s__Eubacteriaceae_unclassified_SGB94922
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae,g__Eubacteriaceae_unclassified,s__Eubacteriaceae_unclassified_SGB94922
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriales_unclassified,g__Eubacteriales_unclassified,s__Eubacteriales_bacterium
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriales_unclassified,g__Eubacteriales_unclassified,s__Eubacteriales_bacterium
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriales_unclassified,g__Eubacteriales_unclassified,s__Eubacteriales_unclassified_SGB15150
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriales_unclassified,g__Eubacteriales_unclassified,s__Eubacteriales_unclassified_SGB15150
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriales_Family_XIII_Incertae_Sedis,g__Eubacteriales_Family_XIII_Incertae_Sedis_unclassified,s__Eubacterium_brachy
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriales_Family_XIII_Incertae_Sedis,g__Eubacteriales_Family_XIII_Incertae_Sedis_unclassified,s__Eubacterium_brachy
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae,g__Eubacterium,s__Eubacterium_callanderi
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae,g__Eubacterium,s__Eubacterium_callanderi
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae,g__Eubacterium,s__Eubacterium_hominis
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae,g__Eubacterium,s__Eubacterium_hominis
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae,g__Eubacterium,s__Eubacterium_ramulus
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae,g__Eubacterium,s__Eubacterium_ramulus
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae,g__Eubacterium,s__Eubacterium_ramulus
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Lachnospiraceae_unclassified,s__Eubacterium_rectale
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Lachnospiraceae_unclassified,s__Eubacterium_rectale
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae,g__Eubacterium,s__Eubacterium_SGB4961
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae,g__Eubacterium,s__Eubacterium_SGB4961
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Oscillospiraceae_unclassified,s__Eubacterium_siraeum
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Oscillospiraceae_unclassified,s__Eubacterium_siraeum
